feature,importance
gx_mean,0.014953760429855113
gx_max,0.01468368349091512
ax_kurtosis,0.01408033497764281
gx_energy,0.013811503387270796
gx_min,0.012259627755510752
ax_abs_energy,0.011965102498245044
gx_std,0.011763018450357939
highx_range,0.011448221306708781
gx_range,0.011204163676248829
highx_std,0.010848899877202521
highx_kurtosis,0.010804869871864608
highx_min,0.010657038546673048
ax_skew,0.010487433896156998
highy_max,0.010479596145960359
ax_energy,0.010207690382005509
az_mean,0.01017854986742217
az_kurtosis,0.010178529713680072
ay_min,0.01017694495764614
highy_abs_energy,0.01014545653028993
gx_abs_energy,0.010061741016795252
ax_std,0.009975291776776966
gx_skew,0.009951630032851775
accelmag_kurtosis,0.009890018005776961
gy_abs_energy,0.009867632894881266
ay_mean,0.009863565244257183
gy_energy,0.00977230057024537
gx_median,0.00977094679419736
highy_energy,0.009694830533956702
highy_range,0.009472351085751172
gx_peak_mean,0.009375048520999095
highy_std,0.009336230658606894
highx_max,0.009096048086049156
gy_mean,0.009021536681905808
highx_peak_mean,0.00887890715496677
gy_peak_mean,0.008838436278836332
highy_peak_mean,0.008814505669701234
gy_max,0.008739341133160283
ax_min,0.008653849277871318
ay_std,0.008417480573395263
accelmag_skew,0.008352969135508592
highx_energy,0.008181407062349188
ay_kurtosis,0.008157652012294873
highx_abs_energy,0.008152858380201342
ay_skew,0.008123752488909076
highx_skew,0.00807274798276995
ay_max,0.008062400007384564
gy_std,0.007977793634677759
highy_min,0.007873470790478837
ay_peak_mean,0.007844171869880422
ay_range,0.007784464851698557
ay_energy,0.00767176115425795
highy_skew,0.0076166641370446885
gz_skew,0.007457270962296973
highy_median,0.0074150384708048436
gy_range,0.007377082297611719
az_skew,0.007355037982285297
ax_median,0.007344764281023065
highz_kurtosis,0.007232976784042631
ax_mean,0.007093584801361514
highz_to_accelmag_ratio,0.007020577709604479
highx_mean,0.007003091901829015
ay_abs_energy,0.007002471338637368
accelmag_range,0.007000699601474048
ax_range,0.006975651219969682
highz_to_gyromag_ratio,0.006924367709886286
highy_mean,0.006822832091529399
ay_peak_std,0.006797935735051668
highy_kurtosis,0.0067945729753886965
accelmag_min,0.006764922067363735
ax_peak_mean,0.006731486087396524
accelmag_median,0.00667582628489943
az_abs_energy,0.006563226248667821
highx_peak_std,0.006456795803369424
az_max,0.006426569917442555
gz_kurtosis,0.006416983491729017
accelmag_std,0.006300034550875245
gy_median,0.006287691309652911
highz_mean,0.006287008896589632
gy_skew,0.006258690318862946
az_std,0.006239641625682278
ax_max,0.0061993079150623916
ax_mean_crossings,0.006186988986945737
gz_peak_mean,0.006066163245064499
highz_min,0.006011070500339124
gyromag_mean,0.006009476450747762
accelmag_mean,0.0059079964277929
az_energy,0.005862425507159722
az_min,0.005815033310543644
gz_std,0.0057400255046230345
highx_median,0.00566397049082742
highz_skew,0.005644227282888184
az_peak_mean,0.005523965137809049
ay_median,0.005513034046190357
gy_min,0.005507553927386881
accelmag_energy,0.005466062652154191
highz_median,0.005441119245774166
highz_peak_mean,0.005344422733793323
highz_abs_energy,0.0053307365215669615
gz_abs_energy,0.005324783342643155
accelmag_peak_mean,0.005304013778340928
az_median,0.005241124640210917
accelmag_abs_energy,0.0052047317981327446
gyromag_energy,0.0051989686622967305
highz_std,0.005190044095788533
gz_median,0.005184690567880349
highz_range,0.00516998322529535
highz_max,0.005161748979794348
accelmag_max,0.005131867316834593
gz_max,0.005111134119126924
gz_range,0.005090908357156048
gz_mean,0.005089644525182982
az_range,0.005086848819137363
gx_kurtosis,0.005081618061997199
highy_peak_std,0.0050616667926263815
gz_energy,0.005016149074700045
gyromag_std,0.00499830465933369
highz_energy,0.004993458291458284
az_peak_std,0.00489066395532411
gz_min,0.004786955845398708
ax_zero_crossings,0.004609870220443724
gy_kurtosis,0.004526784587849727
highz_peak_std,0.004425025877520999
ax_peak_std,0.004003657986680532
highx_zero_crossings,0.003994660802170689
highx_mean_crossings,0.0036768412495162095
highz_num_peaks,0.003419201342819624
ay_mean_crossings,0.0032897232834793195
highy_zero_crossings,0.0032613350708547116
highx_num_peaks,0.0032588764906724575
highz_mean_crossings,0.00290454891659226
ay_zero_crossings,0.00290444851061569
highz_zero_crossings,0.0028799951752249923
gx_peak_std,0.002669101288653873
gx_zero_crossings,0.002637290616346133
az_zero_crossings,0.0025938296845074015
highy_mean_crossings,0.002476064311423668
gx_mean_crossings,0.002447314950545657
az_mean_crossings,0.002328912170067584
highy_num_peaks,0.0023217136721266746
ay_num_peaks,0.0022116616181972765
gy_peak_std,0.0021153996120411456
ax_num_peaks,0.0018778834299779433
gy_zero_crossings,0.0017871387988575513
gz_mean_crossings,0.001766171472290127
az_num_peaks,0.001700620692003191
accelmag_zero_crossings,0.0016653759604429762
gz_peak_std,0.0016523577977714044
gy_mean_crossings,0.0014884517309821258
gy_num_peaks,0.0014406047384820967
gz_num_peaks,0.0012649290664738183
gx_num_peaks,0.0009596899264637134
accelmag_mean_crossings,0.0008793176503806287
accelmag_peak_std,0.0007009795001247615
accelmag_num_peaks,0.000582269276647929
gz_zero_crossings,0.0
