timestamp,ax,ay,az,highX,highY,highZ,accelMag,gx,gy,gz
1766095977604,0.6106572,-2.1895642,6.738835,-0.7560791,-1.4374487,-2.8859258,-0.12641907,-0.022277832,-0.11213684,0.17044868
1766095977605,0.5499582,-1.7572055,10.526724,3.67E-04,0.21340227,4.4617724,0.14527893,0.002456665,-0.2821045,0.31732467
1766095977605,0.46083713,-0.08767176,10.306216,-0.03412527,1.4938132,0.83216476,0.14527893,0.002456665,-0.2821045,0.31732467
1766095977605,0.17164958,0.19436455,9.026079,-0.24310383,0.27326912,-0.24951553,0.14527893,0.002456665,-0.2821045,0.31732467
1766095977605,-0.25217652,0.12634325,6.2909884,-0.40666115,-0.048584834,-1.8324828,0.14527893,0.002456665,-0.2821045,0.31732467
1766095977605,-0.76655436,-0.22855663,2.6024423,-0.5395955,-0.34226555,-3.0594473,0.14527893,0.002456665,-0.2821045,0.31732467
1766095977605,-1.196744,-0.5485935,-0.09009695,-0.50684506,-0.34289256,-2.4322948,1.4607849,-1.0137177,-0.504303,1.8481985
1766095977605,-1.3748579,-0.6293831,-0.4933858,-0.29778838,-0.13564894,-0.41229853,1.4607849,-1.0137177,-0.504303,1.8481985
1766095977605,-1.3220878,-0.5010452,0.3200121,-0.084715724,0.06539953,0.7640593,1.4607849,-1.0137177,-0.504303,1.8481985
1766095977605,-1.1386657,-0.3466978,-0.033945084,0.051213264,0.10424289,-0.32195595,1.4607849,-1.0137177,-0.504303,1.8481985
1766095977605,-0.8207767,-0.27964354,-1.0407519,0.20402241,0.032384485,-1.0102013,2.0186615,0.45526123,-0.20697021,2.079686
1766095977605,-0.07114482,-0.23699331,-0.46463013,0.6675542,0.014685869,0.4720466,2.0186615,0.45526123,-0.20697021,2.079686
1766095977605,0.17361927,-0.14080381,1.1012888,0.2376496,0.072490156,1.5194559,2.0186615,0.45526123,-0.20697021,2.079686
1766095977605,0.18921256,0.017309666,0.1137166,0.032955214,0.14403309,-0.8774433,2.0186615,0.45526123,-0.20697021,2.079686
1766095977605,0.03353882,0.20537376,-2.5279145,-0.13675249,0.18979506,-2.6302595,1.9146576,1.2472687,0.010192871,2.2851033
1766095977605,-0.17640662,0.42153883,-3.7653513,-0.20659156,0.23670244,-1.4902282,1.9146576,1.2472687,0.010192871,2.2851033
1766095977605,-0.34157348,0.5875397,-3.6012354,-0.18280752,0.20815474,-0.21241927,1.9146576,1.2472687,0.010192871,2.2851033
1766095977605,-0.48545218,0.76299715,-3.5715585,-0.17803606,0.23421144,-0.33044672,1.248352,0.5482788,-0.06417847,1.3649584
1766095977605,-0.5101292,0.7061124,-4.010551,-0.07322228,0.019414961,-0.79614854,1.248352,0.5482788,-0.06417847,1.3649584
1766095977605,-0.48206043,0.65093756,-3.9897556,-0.022944152,0.015436411,-0.38025975,1.248352,0.5482788,-0.06417847,1.3649584
1766095977605,-0.4302287,0.7303934,-3.2315893,0.0036256611,0.14454961,0.3591907,1.248352,0.5482788,-0.06417847,1.3649584
1766095977606,-0.36262846,0.66345596,-2.6987767,0.02457738,0.0061019063,0.20965362,0.32914734,0.2101593,-0.023254395,0.39121053
1766095977606,-0.31966877,0.62649584,-2.6171556,0.00669685,0.029385507,-0.1882565,0.32914734,0.2101593,-0.023254395,0.39121053
1766095977606,-0.3388903,0.55677366,-2.7342052,-0.05118844,-0.007072568,-0.37876534,0.32914734,0.2101593,-0.023254395,0.39121053
1766095977606,-0.34777498,0.48511934,-2.7215657,-0.042773694,-0.015976965,-0.26078105,0.32914734,0.2101593,-0.023254395,0.39121053
1766095977606,-0.3075297,0.39676666,-2.5355806,0.0054678023,-0.039840728,-0.08617163,-0.2255249,-0.12046814,-1.98E-04,0.25568357
1766095977606,-0.31563115,0.31733656,-2.3688517,-0.03885445,-0.039753437,-0.086829185,-0.2255249,-0.12046814,-1.98E-04,0.25568357
1766095977606,-0.33546185,0.26796913,-2.2325387,-0.051393837,-0.017633766,-0.10057235,-0.2255249,-0.12046814,-1.98E-04,0.25568357
1766095977606,-0.35451865,0.24087667,-2.1160455,-0.052602977,-2.96E-04,-0.10676074,-0.2255249,-0.12046814,-1.98E-04,0.25568357
1766095977606,-0.39390516,0.15682793,-1.9685698,-0.07483837,-0.05996108,-0.064128876,-0.2255249,-0.12046814,-1.98E-04,0.25568357
1766095977606,-0.38196516,0.060984135,-1.7324009,-0.027450532,-0.08016099,0.039311886,-0.4767456,-0.16003418,0.020126343,0.50329155
1766095977606,-0.39763927,-0.0657773,-1.6490321,-0.05387065,-0.12066302,-0.08987141,-0.4767456,-0.16003418,0.020126343,0.50329155
1766095977631,-0.41946268,-0.113622665,-1.5770721,-0.061587334,-0.054423094,-0.09294331,-0.4767456,-0.16003418,0.020126343,0.50329155
1766095977631,-0.47620797,-0.19749212,-1.5952892,-0.09869158,-0.09523173,-0.1759243,-0.4767456,-0.16003418,0.020126343,0.50329155
1766095977631,-0.5485854,-0.5275769,-1.7347131,-0.11999825,-0.34983402,-0.29895282,-0.51309204,0.012237549,0.046539307,0.51534367
1766095977631,-0.6221845,-0.584342,-1.551403,-0.12845767,-0.10952279,0.0098387,-0.51309204,0.012237549,0.046539307,0.51534367
1766095977632,-0.5763955,-0.1552701,-1.0417056,-0.016429484,0.3706377,0.35455704,-0.51309204,0.012237549,0.046539307,0.51534367
1766095977635,-0.46281457,0.034914494,-0.41682816,0.055941403,0.17465758,0.5207069,-0.53370667,0.14601135,0.0758667,0.55849606
